hotel,market_segment,customer_type,deposit_type,lead_time,is_canceled,adr,异常类型
Resort Hotel,Online TA,Transient,No Deposit,0,0,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,121,0,0.0,adr<=0
Resort Hotel,Offline TA/TO,Transient-Party,No Deposit,28,1,0.0,adr<=0
Resort Hotel,Offline TA/TO,Transient-Party,No Deposit,28,1,0.0,adr<=0
Resort Hotel,Complementary,Transient,No Deposit,11,0,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,35,0,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,1,0,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,10,0,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,36,0,0.0,adr<=0
Resort Hotel,Online TA,Transient-Party,No Deposit,54,0,0.0,adr<=0
Resort Hotel,Offline TA/TO,Contract,No Deposit,89,0,0.0,adr<=0
Resort Hotel,Online TA,Transient-Party,No Deposit,42,0,0.0,adr<=0
Resort Hotel,Online TA,Transient-Party,No Deposit,42,0,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,74,0,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,74,0,0.0,adr<=0
Resort Hotel,Offline TA/TO,Transient,No Deposit,0,0,0.0,adr<=0
Resort Hotel,Offline TA/TO,Transient,No Deposit,0,0,0.0,adr<=0
Resort Hotel,Groups,Transient-Party,No Deposit,36,0,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,0,0,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,56,0,0.0,adr<=0
Resort Hotel,Complementary,Transient,No Deposit,15,0,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,28,0,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,20,0,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,82,0,0.0,adr<=0
Resort Hotel,Groups,Transient-Party,No Deposit,44,0,0.0,adr<=0
Resort Hotel,Groups,Transient-Party,No Deposit,66,0,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,140,0,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,71,0,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,113,0,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,49,0,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,49,0,0.0,adr<=0
Resort Hotel,Groups,Transient-Party,No Deposit,165,1,0.0,adr<=0
Resort Hotel,Groups,Transient-Party,No Deposit,165,0,0.0,adr<=0
Resort Hotel,Groups,Transient-Party,No Deposit,165,0,0.0,adr<=0
Resort Hotel,Groups,Transient-Party,No Deposit,165,0,0.0,adr<=0
Resort Hotel,Groups,Transient-Party,No Deposit,165,0,0.0,adr<=0
Resort Hotel,Groups,Transient-Party,No Deposit,165,0,0.0,adr<=0
Resort Hotel,Groups,Transient-Party,No Deposit,165,1,0.0,adr<=0
Resort Hotel,Groups,Transient-Party,No Deposit,165,0,0.0,adr<=0
Resort Hotel,Groups,Transient-Party,No Deposit,165,0,0.0,adr<=0
Resort Hotel,Groups,Transient-Party,No Deposit,165,0,0.0,adr<=0
Resort Hotel,Direct,Transient,No Deposit,52,0,332.0,adr>P99
Resort Hotel,Direct,Transient,No Deposit,66,1,270.0,adr>P99
Resort Hotel,Direct,Transient,No Deposit,55,1,276.6,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,0,0,0.0,adr<=0
Resort Hotel,Complementary,Transient,No Deposit,12,1,0.0,adr<=0
Resort Hotel,Groups,Transient,No Deposit,64,1,0.0,adr<=0
Resort Hotel,Groups,Transient-Party,No Deposit,112,0,0.0,adr<=0
Resort Hotel,Groups,Transient-Party,No Deposit,112,0,0.0,adr<=0
Resort Hotel,Offline TA/TO,Transient,No Deposit,0,1,0.0,adr<=0
Resort Hotel,Complementary,Transient,No Deposit,7,1,0.0,adr<=0
Resort Hotel,Complementary,Transient,No Deposit,7,1,0.0,adr<=0
Resort Hotel,Direct,Transient,No Deposit,20,1,0.0,adr<=0
Resort Hotel,Direct,Transient,No Deposit,20,1,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,141,0,0.0,adr<=0
Resort Hotel,Offline TA/TO,Transient-Party,No Deposit,136,0,0.0,adr<=0
Resort Hotel,Offline TA/TO,Transient-Party,No Deposit,136,0,0.0,adr<=0
Resort Hotel,Offline TA/TO,Transient-Party,No Deposit,136,0,0.0,adr<=0
Resort Hotel,Groups,Transient-Party,No Deposit,169,0,0.0,adr<=0
Resort Hotel,Offline TA/TO,Transient,No Deposit,182,0,0.0,adr<=0
Resort Hotel,Groups,Transient,No Deposit,171,0,0.0,adr<=0
Resort Hotel,Groups,Transient-Party,No Deposit,171,0,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,210,0,0.0,adr<=0
Resort Hotel,Groups,Transient-Party,No Deposit,183,0,0.0,adr<=0
Resort Hotel,Groups,Transient-Party,No Deposit,185,0,0.0,adr<=0
Resort Hotel,Offline TA/TO,Transient-Party,No Deposit,191,0,0.0,adr<=0
Resort Hotel,Offline TA/TO,Contract,No Deposit,252,0,0.0,adr<=0
Resort Hotel,Groups,Transient-Party,No Deposit,236,0,0.0,adr<=0
Resort Hotel,Groups,Transient-Party,No Deposit,237,0,0.0,adr<=0
Resort Hotel,Groups,Transient-Party,No Deposit,9,0,0.0,adr<=0
Resort Hotel,Groups,Transient-Party,No Deposit,213,0,0.0,adr<=0
Resort Hotel,Groups,Transient,No Deposit,40,1,0.0,adr<=0
Resort Hotel,Complementary,Transient,No Deposit,3,0,0.0,adr<=0
Resort Hotel,Complementary,Transient,No Deposit,126,1,0.0,adr<=0
Resort Hotel,Complementary,Transient,No Deposit,126,1,0.0,adr<=0
Resort Hotel,Groups,Transient-Party,No Deposit,0,0,0.0,adr<=0
Resort Hotel,Groups,Transient-Party,No Deposit,0,0,0.0,adr<=0
Resort Hotel,Groups,Transient-Party,No Deposit,229,0,0.0,adr<=0
Resort Hotel,Offline TA/TO,Transient,No Deposit,221,0,0.0,adr<=0
Resort Hotel,Groups,Transient-Party,No Deposit,322,0,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,15,1,272.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,149,1,260.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,102,1,280.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,109,1,287.0,adr>P99
Resort Hotel,Complementary,Transient,No Deposit,0,1,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,46,1,259.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,35,1,259.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,131,1,288.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,70,1,262.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,37,1,259.0,adr>P99
Resort Hotel,Direct,Transient,No Deposit,142,1,292.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,87,1,259.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,141,1,266.5,adr>P99
Resort Hotel,Direct,Transient,No Deposit,16,1,253.57,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,78,1,259.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,161,1,256.5,adr>P99
Resort Hotel,Direct,Transient,No Deposit,5,1,0.0,adr<=0
Resort Hotel,Direct,Transient,No Deposit,220,1,282.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,16,1,283.32,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,23,1,272.7,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,145,1,259.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,20,1,299.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,177,1,298.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,33,1,289.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,199,1,262.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,47,1,274.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,9,1,299.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,91,1,273.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,52,1,269.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,148,1,269.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,167,1,254.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,148,1,259.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,141,1,259.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,13,1,369.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,150,1,262.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,55,1,278.6,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,30,1,271.0,adr>P99
Resort Hotel,Direct,Transient,No Deposit,112,1,254.31,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,13,1,261.5,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,132,1,259.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,13,1,256.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,152,1,259.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,13,1,291.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,114,1,279.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,140,1,259.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,8,1,254.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,99,1,277.67,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,24,1,299.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,19,1,258.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,57,1,269.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,85,1,263.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,105,1,309.0,adr>P99
Resort Hotel,Direct,Transient,No Deposit,133,1,289.9,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,87,1,261.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,154,1,259.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,20,1,256.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,75,1,314.5,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,75,1,266.5,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,155,1,258.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,143,1,286.79,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,137,1,281.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,134,1,274.0,adr>P99
Resort Hotel,Direct,Transient,No Deposit,51,1,275.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,149,1,256.75,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,165,1,288.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,159,1,259.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,59,1,274.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,26,1,304.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,26,1,286.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,140,1,329.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,100,1,281.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,55,1,274.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,18,1,271.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,54,1,322.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,41,1,287.0,adr>P99
Resort Hotel,Direct,Transient,No Deposit,6,1,269.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,51,1,265.67,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,74,1,262.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,95,1,253.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,41,1,322.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,42,1,269.0,adr>P99
Resort Hotel,Offline TA/TO,Contract,No Deposit,223,0,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,77,1,264.0,adr>P99
Resort Hotel,Direct,Transient,No Deposit,50,1,254.0,adr>P99
Resort Hotel,Offline TA/TO,Transient,No Deposit,233,0,0.0,adr<=0
Resort Hotel,Direct,Transient,No Deposit,0,1,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,76,1,292.4,adr>P99
Resort Hotel,Complementary,Transient,No Deposit,19,1,0.0,adr<=0
Resort Hotel,Complementary,Transient,No Deposit,144,1,0.0,adr<=0
Resort Hotel,Complementary,Transient,No Deposit,12,1,0.0,adr<=0
Resort Hotel,Complementary,Transient,No Deposit,100,1,0.0,adr<=0
Resort Hotel,Complementary,Transient,No Deposit,79,1,0.0,adr<=0
Resort Hotel,Groups,Transient,No Deposit,18,1,0.0,adr<=0
Resort Hotel,Complementary,Transient,No Deposit,23,1,0.0,adr<=0
Resort Hotel,Offline TA/TO,Group,No Deposit,0,1,0.0,adr<=0
Resort Hotel,Complementary,Transient,No Deposit,44,1,0.0,adr<=0
Resort Hotel,Complementary,Transient-Party,No Deposit,14,1,0.0,adr<=0
Resort Hotel,Groups,Transient-Party,No Deposit,31,1,340.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,95,1,384.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,44,1,302.11,adr>P99
Resort Hotel,Complementary,Transient,No Deposit,72,1,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,319,1,382.0,adr>P99
Resort Hotel,Direct,Transient-Party,No Deposit,42,1,275.0,adr>P99
Resort Hotel,Direct,Transient-Party,No Deposit,42,1,275.0,adr>P99
Resort Hotel,Direct,Transient,No Deposit,0,1,0.0,adr<=0
Resort Hotel,Complementary,Transient,No Deposit,1,1,0.0,adr<=0
Resort Hotel,Complementary,Transient,No Deposit,18,1,0.0,adr<=0
Resort Hotel,Complementary,Transient,No Deposit,4,1,0.0,adr<=0
Resort Hotel,Complementary,Transient,No Deposit,0,1,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,0,1,0.0,adr<=0
Resort Hotel,Complementary,Transient,No Deposit,44,1,0.0,adr<=0
Resort Hotel,Complementary,Transient,No Deposit,5,1,0.0,adr<=0
Resort Hotel,Complementary,Transient,No Deposit,12,1,0.0,adr<=0
Resort Hotel,Complementary,Transient,No Deposit,12,1,0.0,adr<=0
Resort Hotel,Complementary,Transient,No Deposit,8,0,0.0,adr<=0
Resort Hotel,Complementary,Transient,No Deposit,8,1,0.0,adr<=0
Resort Hotel,Complementary,Transient,No Deposit,62,1,0.0,adr<=0
Resort Hotel,Corporate,Transient,No Deposit,3,0,0.0,adr<=0
Resort Hotel,Complementary,Transient,No Deposit,8,1,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,65,1,262.5,adr>P99
Resort Hotel,Complementary,Transient,No Deposit,0,1,0.0,adr<=0
Resort Hotel,Direct,Transient,No Deposit,19,1,260.0,adr>P99
Resort Hotel,Direct,Transient,No Deposit,30,1,0.0,adr<=0
Resort Hotel,Direct,Transient,No Deposit,30,1,0.0,adr<=0
Resort Hotel,Direct,Transient,No Deposit,30,1,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,33,1,273.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,36,1,261.0,adr>P99
Resort Hotel,Direct,Transient,No Deposit,77,1,311.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,98,1,258.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,57,1,288.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,342,1,265.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,342,1,260.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,57,1,300.86,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,102,1,292.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,277,1,259.86,adr>P99
Resort Hotel,Complementary,Transient,No Deposit,6,1,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,65,1,264.0,adr>P99
Resort Hotel,Direct,Transient,No Deposit,3,1,265.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,186,1,274.67,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,61,1,270.0,adr>P99
Resort Hotel,Direct,Transient,No Deposit,33,1,303.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,217,1,293.0,adr>P99
Resort Hotel,Direct,Transient,No Deposit,23,1,275.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,110,1,260.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,87,1,270.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,33,1,260.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,20,1,272.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,67,1,293.33,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,66,1,253.25,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,148,1,311.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,212,1,289.6,adr>P99
Resort Hotel,Complementary,Transient,No Deposit,51,1,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,25,1,338.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,190,1,302.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,42,1,342.29,adr>P99
Resort Hotel,Direct,Transient,No Deposit,190,1,274.45,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,195,1,290.67,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,194,1,290.67,adr>P99
Resort Hotel,Direct,Transient,No Deposit,55,1,260.0,adr>P99
Resort Hotel,Direct,Transient,No Deposit,7,1,255.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,43,1,255.0,adr>P99
Resort Hotel,Direct,Transient,No Deposit,72,1,306.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,176,1,303.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,116,1,289.0,adr>P99
Resort Hotel,Direct,Transient,No Deposit,91,1,278.0,adr>P99
Resort Hotel,Direct,Transient,No Deposit,127,1,289.5,adr>P99
Resort Hotel,Direct,Transient,No Deposit,82,1,317.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,28,1,353.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,82,1,257.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,28,1,315.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,151,1,265.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,139,1,278.57,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,44,1,315.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,70,1,277.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,154,1,270.71,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,84,1,277.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,207,1,292.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,95,1,305.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,12,1,299.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,347,1,262.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,196,1,292.0,adr>P99
Resort Hotel,Direct,Transient,No Deposit,15,1,255.0,adr>P99
Resort Hotel,Online TA,Transient-Party,No Deposit,23,1,255.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,148,1,267.86,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,157,1,266.5,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,198,1,292.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,191,1,292.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,33,1,257.0,adr>P99
Resort Hotel,Direct,Transient,No Deposit,0,1,0.0,adr<=0
Resort Hotel,Direct,Transient,No Deposit,16,1,279.5,adr>P99
Resort Hotel,Direct,Transient,No Deposit,16,1,310.0,adr>P99
Resort Hotel,Direct,Transient,No Deposit,69,1,257.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,33,1,315.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,141,1,278.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,19,1,315.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,116,1,287.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,23,1,363.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,20,1,363.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,56,1,305.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,358,1,266.6,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,342,1,266.6,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,56,1,257.0,adr>P99
